HCHO,t_C,C6H5OH,HCl,NH3
0.0023,-0.9,0,0.04,0.01
0.0046,-1.3,0.001,0.11,0.01
0.0043,-1.4,0.001,0.11,0.01
0.003,-2.2,0.002,0.11,0.01
0.0038,-3,0.001,0.1,0.01
0.0068,-1.1,0.001,0.09,0.01
0.0022,-10.9,0,0.03,0.01
0.0051,-8.8,0.001,0.09,0.01
0.0078,2.7,0.001,0.1,0.01
0.0031,4,0.001,0.04,0.01
0.0063,5.2,0.002,0.11,0.01
0.0024,5.8,0.001,0.04,0
0.0071,5.7,0.002,0.1,0
0.0031,-0.1,0,0.03,0.01
0.0053,-5.4,0.001,0.11,0.01
0.0015,-9.1,0.001,0.03,0.01
0.0037,-3.4,0.002,0.1,0.01
0.003,-7.6,0,0.04,0.01
0.0068,-2.5,0.002,0.1,0.01
0.0038,-4.3,0.001,0.04,0.01
0.0052,-6,0.001,0.1,0.01
0.0022,-10.4,0,0.04,0.01
0.0044,-8.4,0.002,0.1,0.01
0.0053,-1.1,0.001,0.09,0.01
0.003,-3.3,0.001,0.04,0.01
0.0068,-1.2,0.002,0.08,0.01
0.0067,-1,0.002,0.1,0.01
0.0038,-1,0.002,0.09,0.01
0.003,-3.2,0.001,0.04,0.01
0.0067,-2.9,0.001,0.1,0.01
0.0022,-4,0,0.05,0.01
0.009,-1.1,0.002,0.11,0.01
0.0038,0.5,0.001,0.04,0.01
0.009,0.4,0.001,0.11,0.01
0.003,0.6,0.001,0.04,0.01
0.0077,0.5,0.002,0.11,0.01
0.0016,3.2,0.001,0.05,0.01
0.0039,0.6,0,0.04,0.01
0.0053,0.4,0.002,0.1,0.01
0.0075,-1,0.002,0.1,0.01
0.003,-2.8,0.001,0.04,0.01
0.0089,-3.2,0.001,0.11,0.01
0.0069,-0.1,0.002,0.11,0.01
0.0045,-1.6,0.001,0.1,0.01
0.0023,-0.6,0.002,0.04,0
0.0051,2.9,0.003,0.09,0
0.0023,3,0,0.04,0.01
0.006,4.3,0.001,0.09,0.01
0.0054,2.4,0.002,0.11,0.01
0.0023,-0.8,0.001,0.05,0.01
0.0047,4.2,0.002,0.11,0.01
0.0023,5.6,0.001,0.04,0.01
0.0059,4.2,0.002,0.1,0.01
0.0045,0.1,0.002,0.11,0.01
0.0067,-2,0.002,0.1,0.01
0.0024,-1.6,0.001,0.04,0.01
0.0053,-1.3,0.002,0.11,0.01
0.0023,-1,0.001,0.04,0.01
0.0061,-0.3,0.001,0.1,0.01
0.0058,1.4,0.002,0.11,0.01
0.0061,2.7,0.001,0.11,0.01
0.0026,1.1,0.001,0.04,0.01
0.0054,-0.5,0.002,0.1,0.01
0.0045,-4.6,0.001,0.1,0.01
0.0037,-8.9,0.001,0.04,0.01
0.0053,-3.5,0.001,0.09,0.01
0.0024,14.2,0.001,0.05,0.01
0.0075,23.8,0.003,0.1,0.01
0.0066,22.1,0.003,0.11,0.01
0.0024,13.7,0.001,0.05,0.01
0.0041,18.2,0.003,0.1,0.01
0.0032,10.9,0.003,0.08,0.01
0,4.1,0.001,0.04,0.01
0.0024,9.6,0.002,0.09,0.01
0.004,9.4,0.003,0.1,0.01
0,3.5,0.001,0.04,0.01
0.0041,7.3,0.002,0.08,0.01
0.0042,8.5,0.003,0.07,0.01
0,6.3,0.001,0.04,0.01
0.0053,8.5,0.002,0.09,0.01
0.0039,7.4,0.002,0.07,0.01
0.0015,2.8,0.001,0.03,0.01
0.0047,6.1,0.003,0.08,0.01
0.0015,0.7,0.001,0.03,0.01
0.0038,4.8,0.003,0.08,0.01
0.0054,0.4,0.001,0.08,0.01
0.0054,0.4,0.001,0.08,0.01
0.0054,0.4,0.001,0.08,0.01
0.0054,0.4,0.001,0.08,0.01
0.004,13.3,0.002,0.03,0.01
0.0115,22.4,0.004,0.07,0.01
0.0056,12.7,0.001,0.04,0.01
0.0125,26,0.004,0.09,0.01
0.004,16.5,0.001,0.04,0.01
0.01,24.3,0.004,0.1,0.01
0.0035,18.2,0.002,0.05,0.01
0.0076,28.1,0.003,0.11,0.01
0.0057,17.2,0.001,0.03,0.01
0.0116,24.6,0.003,0.09,0.01
0.0032,15.4,0.001,0.04,0.01
0.0091,25.1,0.003,0.09,0.01
0.0024,15,0.001,0.03,0.01
0.0089,25.8,0.003,0.08,0.01
0.0056,14.5,0.001,0.03,0.01
0.0091,23.4,0.004,0.06,0.01
0.0039,13.1,0.002,0.03,0.01
0.0075,24.6,0.004,0.07,0.01
0.0057,18.5,0.002,0.04,0.01
0.01,27.2,0.004,0.09,0.01
0.0044,17.6,0.001,0.03,0.01
0.0082,25,0.004,0.07,0.01
0.0032,13.6,0.002,0.03,0.01
0.0094,19.6,0.003,0.08,0.01
0.0033,10.6,0.001,0.03,0.01
0.0065,19,0.002,0.08,0.01
0.0024,10,0.001,0.03,0.01
0.0058,23.3,0.002,0.07,0.01
0.0081,17.6,0.002,0.06,0.01
0.0031,6.4,0.001,0.03,0.01
0.0048,15.3,0.002,0.06,0.01
0.0023,7.7,0.001,0.03,0.01
0.0056,11.4,0.003,0.05,0.01
0.0024,8.5,0.002,0.04,0.01
0.0079,9.6,0.003,0.04,0.01
0.0031,7.8,0.001,0.03,0.01
0.0095,10,0.003,0.05,0.01
0.0047,7,0.001,0.03,0.01
0.0088,13,0.003,0.06,0.01
0.0016,8.3,0.002,0.03,0.01
0.004,16.3,0.003,0.06,0.01
0.0024,9.1,0.001,0.03,0.01
0.0032,14.6,0.002,0.07,0.01
0.0039,7.4,0.001,0.04,0.01
0.0016,11.6,0.003,0.07,0.01
0.0047,9.5,0.001,0.03,0.01
0.0024,14.1,0.003,0.06,0.01
0.0032,11.6,0.002,0.04,0.01
0.0049,17.7,0.003,0.07,0.01
0.0016,10.2,0.002,0.04,0.01
0.0058,24.3,0.003,0.08,0.01
0.0041,19.7,0.003,0.05,0.01
0.0167,32.1,0.006,0.17,0.02
0.0033,20.6,0.003,0.06,0.01
0.0153,26.1,0.006,0.15,0.01
0.0045,19.1,0.003,0.05,0.01
0.0105,24.4,0.005,0.14,0.01
0.0032,16,0.002,0.04,0.01
0.0134,27,0.004,0.15,0.01
0.0048,16,0.002,0.04,0.01
0.0093,29,0.005,0.16,0.01
0.0057,19.6,0.002,0.04,0.01
0.0102,31.5,0.006,0.15,0.01
0.0056,14.3,0.001,0.04,0.01
0.0099,24.2,0.005,0.13,0.01
0.0064,15,0.002,0.04,0.01
0.0092,26.9,0.003,0.15,0.01
0.0065,15.6,0.003,0.05,0.01
0.0102,29.2,0.005,0.17,0.01
0.0049,16.8,0.002,0.04,0.01
0.0115,23.4,0.002,0.13,0.01
0.0032,13.1,0.001,0.04,0.01
0.008,13.9,0.002,0.09,0.01
0.0048,13,0.001,0.03,0.01
0.0084,13.8,0.002,0.11,0.01
0.005,15.4,0.001,0.03,0.01
0.0094,22,0.003,0.1,0.01
0.0054,13.6,0.001,0.04,0.01
0.0102,22.7,0.003,0.1,0.01
0.0046,14.2,0.001,0.04,0.01
0.0112,24.2,0.002,0.06,0.01
0.0027,16.9,0.001,0.03,0.01
0.0094,17.5,0.003,0.08,0.01
0.0034,16.2,0.001,0.04,0.01
0.0081,23.7,0.003,0.1,0.01
0.0048,16.2,0.002,0.05,0.01
0.0109,20.1,0.005,0.11,0.01
0.0056,14.6,0.002,0.03,0.01
0.0101,29.2,0.004,0.08,0.01
0.0066,22.4,0.001,0.04,0.01
0.0144,29.7,0.002,0.1,0.01
0.0072,15.3,0.001,0.03,0.01
0.0106,22.4,0.003,0.11,0.01
0.0064,15.5,0.001,0.04,0.01
0.0097,19.7,0.005,0.1,0.01
0.0056,15.4,0.002,0.04,0.01
0.0116,27.7,0.005,0.11,0.01
0.0048,18.3,0.001,0.04,0.01
0.0127,30.8,0.004,0.09,0.01
0.0033,19.6,0,0.04,0.01
0.0099,23.9,0.004,0.09,0.01
0.0024,13.7,0.002,0.03,0.01
0.0089,20.8,0.004,0.07,0.01
0.0107,20.7,0.002,0.06,0.01
0.0189,20.2,0.004,0.16,0.01
0.0094,20.2,0.001,0.05,0.01
0.0071,19.5,0.002,0.04,0.01
0.0104,23.4,0.002,0.14,0.01
0.0052,13.7,0.001,0.04,0.01
0.0078,22.1,0.003,0.14,0.01
0.0044,14.9,0.003,0.04,0.01
0.006,25.4,0.006,0.14,0.01
0.0039,15,0.005,0.04,0.01
0.0069,18.5,0.008,0.14,0.01
0.0026,12.8,0.003,0.04,0.01
0.0051,22,0.005,0.13,0.01
0.0032,13.6,0.003,0.04,0.01
0.0057,23.4,0.006,0.12,0.01
0.0048,15.7,0.004,0.04,0.01
0.0092,26.5,0.008,0.12,0.01
0.0073,20,0.003,0.04,0.01
0.0106,30.7,0.007,0.15,0.01
0.0057,19.6,0.004,0.04,0.01
0.0153,30,0.008,0.14,0.01
0.0082,19.8,0.004,0.04,0.01
0.0171,31.1,0.007,0.15,0.01
0.011,19.6,0.004,0.05,0.01
0.0184,30.1,0.009,0.17,0.01
0.0081,17.9,0.003,0.05,0.01
0.0168,29.1,0.006,0.18,0.01
0.0063,21.9,0.004,0.05,0.01
0.0095,20.2,0.006,0.16,0.01
0.0058,16.5,0.001,0.05,0.01
0.0071,21.2,0.003,0.14,0.01
0.0044,14.9,0.001,0.04,0.01
0.0068,22,0.002,0.13,0.01
0.0036,14,0.001,0.04,0.01
0.0057,13.6,0.002,0.13,0.01
0.0066,21.1,0.002,0.13,0.01
0.0024,14.6,0.001,0.04,0.01
0.0041,19.4,0.002,0.05,0.01
0.0135,28.3,0.004,0.15,0.01
0.0049,19.4,0.002,0.05,0.01
0.011,29.4,0.005,0.16,0.01
0.0041,20.1,0.002,0.05,0.01
0.0161,30.8,0.006,0.16,0.02
0.0066,21.8,0.002,0.05,0.01
0.0145,31.8,0.006,0.18,0.02
0.0033,20.6,0.002,0.06,0.01
0.0171,31.6,0.006,0.19,0.02
0.0065,21.2,0.003,0.06,0.01
0.0142,28.8,0.007,0.17,0.02
0.0033,17.6,0.001,0.04,0.01
0.0041,21.1,0.003,0.14,0.01
0.0032,11.9,0.001,0.04,0.01
0.0074,20.5,0.002,0.14,0.01
0.0024,13.1,0.001,0.04,0.01
0.0066,20.5,0.002,0.13,0.01
0.003,12.9,0.001,0.04,0.01
0.0079,23.5,0.003,0.11,0.01
0.0016,14,0.001,0.03,0.01
0.0077,16.2,0.002,0.12,0.01
0.0024,8.6,0.001,0.04,0.01
0.0068,15,0.002,0.13,0.01
0.0032,10.7,0.001,0.04,0.01
0.0065,18.8,0.002,0.13,0.01
0.0048,13.8,0.001,0.04,0.01
0.0074,21.3,0.002,0.14,0.01
0.0034,13.4,0.001,0.05,0.01
0.0057,15,0.003,0.12,0.01
0.0032,13.6,0.001,0.04,0.01
0.0062,19.1,0.003,0.15,0.01
0.0038,10.9,0.001,0.04,0.01
0.0058,18.5,0.002,0.14,0.01
0.0024,14.6,0.001,0.04,0.01
0.0074,23.3,0.003,0.14,0.01
0.0033,16.7,0.001,0.04,0.01
0.0077,22.1,0.004,0.15,0.01
0.0041,16,0.002,0.05,0.01
0.0093,28.5,0.004,0.14,0.01
0.0057,16.9,0.002,0.04,0.01
0.0118,27.8,0.005,0.14,0.01
0.0041,18.8,0.001,0.05,0.01
0.01,25.6,0.004,0.14,0.01
0.0057,20.3,0.001,0.05,0.01
0.0159,28.8,0.003,0.13,0.01
0.0089,20,0.002,0.05,0.01
0.015,27.6,0.004,0.14,0.01
0.0057,18.4,0.002,0.05,0.01
0.0185,28.8,0.005,0.14,0.01
0.0074,20.8,0.002,0.05,0.01
0.0152,28.5,0.005,0.16,0.01
0.0066,20.6,0.002,0.05,0.01
0.0091,20.4,0.002,0.05,0.01
0.0152,28.8,0.005,0.17,0.02
0.0048,9.6,0.001,0.05,0.01
0.009,20.4,0.003,0.13,0.01
0.0062,13.2,0.002,0.04,0.01
0.0114,19.6,0.004,0.14,0.01
0.0063,10.3,0.001,0.04,0.01
0.0127,14.4,0.003,0.13,0.01
0.0044,9.3,0.001,0.04,0.01
0.0138,13.2,0.003,0.14,0.01
0.004,11.9,0.001,0.04,0.01
0.0115,21.5,0.003,0.14,0.01
0.0056,13.2,0.001,0.05,0.01
0.0131,21.5,0.003,0.13,0.01
0.0042,13.2,0.001,0.04,0.01
0.0108,19.4,0.002,0.14,0.01
0.0062,12.3,0,0.04,0.01
0.0098,16.9,0.002,0.13,0.01
0.0053,12.8,0.001,0.04,0.01
0.0105,13.7,0.002,0.13,0.01
0.0046,9.6,0.001,0.04,0.01
0.0049,15.3,0.002,0.14,0.01
0.0064,12.4,0.002,0.13,0.01
0.0016,7.2,0,0.04,0.01
0.0056,10,0.001,0.11,0.01
0.0032,12,0.001,0.12,0.01
0.0046,11.7,0.002,0.11,0.01
0.0041,20.8,0.002,0.13,0.01
0.0032,12.6,0.001,0.04,0.01
0.0047,21.8,0.002,0.14,0.01
0.0016,11.8,0.001,0.04,0.01
0.0041,20.2,0.002,0.12,0.01
0.0022,12.4,0.001,0.04,0.01
0.0057,15.3,0.002,0.11,0.01
0.0024,12.4,0.001,0.04,0.01
0.0062,22.9,0.002,0.13,0.01
0.0045,25.6,0.002,0.14,0.01
0.0035,19.2,0.002,0.14,0.01
0.0065,17.7,0.002,0.14,0.01
0.0024,16.5,0.001,0.04,0.01
0.005,23.6,0.002,0.14,0.01
0.0032,8.7,0.001,0.04,0.01
0.0087,19.9,0.002,0.12,0.01
0.0045,2.6,0,0.04,0.01
0.0072,8.2,0.002,0.12,0.01
0.0047,7.1,0.001,0.04,0.01
0.0114,16.3,0.003,0.13,0.01
0.0056,5.4,0.001,0.04,0.01
0.0032,8,0.001,0.04,0.01
0.0132,20.5,0.003,0.14,0.01
0.0044,11.5,0.001,0.04,0.01
0.0089,16.4,0.002,0.14,0.01
0.004,11.2,0.001,0.04,0.01
0.0108,23.3,0.002,0.13,0.02
0.0024,12.9,0.001,0.04,0.01
0.0116,20.8,0.003,0.12,0.01
0.0032,12.4,0.001,0.04,0.01
0.0107,15.7,0.002,0.13,0.01
0.0041,11.6,0.001,0.04,0.01
0.0036,12.2,0.001,0.03,0.01
0.0077,13.7,0.002,0.1,0.01
0.0032,10.4,0,0.05,0.01
0.01,19.5,0.002,0.13,0.01
0.004,9.3,0.001,0.04,0.01
0.0075,6.3,0.002,0.11,0.01
0.0031,3.3,0.001,0.04,0.01
0.0064,14.4,0.002,0.11,0.01
0.0068,12,0.001,0.04,0.01
0.009,19.7,0.002,0.13,0.01
0.0055,6.8,0.001,0.04,0.01
0.0122,18.5,0.003,0.14,0.01
0.0039,9.6,0.001,0.04,0.01
0.0044,3.9,0.001,0.04,0.01
0.0052,8,0.003,0.12,0.01
0.0039,6,0.001,0.03,0.01
0.0061,3.1,0.003,0.11,0.01
0.0028,1.5,0.001,0.04,0.01
0.007,1.2,0.003,0.1,0.01
0.0031,0,0.001,0.04,0.01
0.0084,0.2,0.003,0.11,0.01
0.0038,-0.2,0.001,0.03,0.01
0.0092,-0.7,0.002,0.11,0.01
0.0043,4.2,0.001,0.04,0.01
0.0071,8.7,0.003,0.12,0.01
0.0034,5.8,0.001,0.04,0.01
0.0079,8.7,0.002,0.11,0.01
0.0053,5.6,0.001,0.04,0.01
0.0069,8.9,0.003,0.11,0.01
0.0048,4.8,0.001,0.04,0.01
0.0072,6.7,0.003,0.12,0.01
0.0056,6.3,0.001,0.04,0.01
0.0075,9.2,0.002,0.12,0.01
0.0039,0.3,0.001,0.04,0.01
0.0086,0.7,0.002,0.11,0.01
0.0046,0.2,0.001,0.04,0.01
0.0077,-1,0.003,0.1,0.01
0.0023,1.3,0.001,0.04,0.01
0.0054,1.5,0.002,0.11,0.01
0.0033,0.7,0.001,0.04,0.01
0.0057,4.4,0.002,0.11,0.01
0.0024,8,0.001,0.04,0.01
0.0065,5.4,0.002,0.12,0.01
0.0036,2.7,0.001,0.04,0.01
0.0056,2.3,0.002,0.11,0.01
0.0041,-0.7,0.001,0.04,0.01
0.0068,1.8,0.002,0.11,0.01
0.0033,-1.9,0.001,0.03,0.01
0.0072,-1,0.002,0.1,0.01
0.0037,-2.7,0.001,0.03,0.01
0.0058,1.8,0.002,0.12,0.01
0.0023,2.4,0.001,0.04,0.01
0.0069,4.1,0.003,0.1,0.01
0.0031,1.2,0.001,0.03,0.01
0.0077,4.1,0.002,0.09,0.01
0.0027,1.2,0,0.03,0.01
0.0054,0.8,0.002,0.11,0.01
0.0033,0.3,0.001,0.04,0.01
0.0071,1.1,0.002,0.11,0.01
0.0048,-2.2,0.001,0.04,0.01
0.0063,0.5,0.001,0.12,0.01
0.0031,1.4,0.001,0.04,0.01
0.0074,6.6,0.002,0.12,0.01
0.0046,9.6,0.001,0.01,0.01
0.0061,5.7,0.003,0.01,0.01
0.0038,-0.4,0.001,0.04,0.01
0.0085,-0.1,0.003,0.12,0.01
0.0044,-4,0.001,0.04,0.01
0.007,-1,0.002,0.1,0.01
0.0051,-1.7,0,0.04,0.01
0.0063,-1.3,0.001,0.11,0.01
0.0036,-1,0.001,0.03,0.01
0.0057,-2.2,0.002,0.09,0.01
0.0039,2.1,0.001,0.05,0.01
0.0064,11.2,0.003,0.1,0.01
0.0048,9.2,0.002,0.04,0.01
0.007,9,0.003,0.12,0.01
0.0036,3.3,0.001,0.04,0.01
0.0053,1.2,0.003,0.1,0.01
0.0045,0.7,0.001,0.04,0.01
0.0076,-0.5,0.002,0.11,0.01
0.0031,-0.4,0.001,0.04,0.01
0.0062,1.7,0.002,0.11,0.01
0.0043,-0.1,0.002,0.04,0.01
0.0083,0.2,0.003,0.1,0.01
0.0035,4.2,0.001,0.04,0.01
0.0076,0.2,0.003,0.11,0.01
0.0021,-15.8,0.001,0.08,0.01
0.0015,-13.1,0.001,0.03,0.01
0.0044,-11.5,0.002,0.09,0.01
0.0022,-10.5,0,0.04,0.01
0.0037,-8,0.002,0.1,0.01
0.0023,-5.3,0.001,0.03,0.01
0.0045,-5.6,0.001,0.09,0.01
0.0015,-6.4,0.001,0.04,0.01
0.0031,0.1,0.002,0.11,0.01
0.0024,-3.6,0.001,0.04,0.01
0.0038,-3.6,0.001,0.11,0.01
0.002,0.5,0,0.04,0.01
0.0034,2.8,0.001,0.1,0.01
0.0015,1.3,0.001,0.04,0.01
0.0024,-0.3,0.002,0.12,0.01
0.0046,-1.6,0.002,0.11,0.01
0.0023,-3.4,0.001,0.04,0.01
0.0043,-2.1,0.002,0.11,0.01
0.0031,-0.1,0.001,0.04,0.01
0.0038,-1.3,0.002,0.1,0.01
0.0022,-8.4,0,0.04,0.01
0.0045,-4.7,0.001,0.08,0.01
0.0015,-9.1,0,0.04,0.01
0.0022,-12,0.001,0.04,0.01
0.0029,-12,0.001,0.03,0.01
0.0044,-7.5,0.001,0.11,0.01
0.0022,-6.5,0,0.04,0.01
0.0041,-10.3,0.001,0.1,0.01
0.0015,-8.5,0,0.04,0.01
0.0029,-9.5,0.001,0.1,0.01
0.0022,-13,0,0.04,0.01
0.0052,-6.2,0.001,0.1,0.01
0.0015,-7.5,0,0.03,0.01
0.0037,-5.6,0.002,0.11,0.01
0.0023,-0.6,0.001,0.04,0.01
0.0034,2.6,0.002,0.11,0.01
0.0023,3.5,0.001,0.04,0.01
0.0048,5.8,0.003,0.12,0.01
0.0043,1.7,0.002,0.09,0.01
0.0031,2.4,0.001,0.04,0.01
0.0046,3.1,0.002,0.1,0.01